id,date,function_id,execution_time
6491,2020-05-27,2,373
12540,2020-02-08,4,5806
17756,2020-04-19,5,154
15598,2020-08-26,5,149
5916,2020-01-20,1,257
1808,2020-01-04,0,64
8915,2020-06-24,2,304
754,2020-11-01,0,77
11775,2020-06-28,3,1027
2249,2020-11-23,0,58
3746,2020-07-22,1,247
3004,2020-09-21,1,255
7650,2020-06-01,2,344
2752,2020-11-20,0,61
16458,2020-02-08,5,135
8498,2020-11-29,2,333
4796,2020-02-17,1,255
7077,2020-09-24,2,326
4941,2020-05-17,1,255
9662,2020-01-22,3,1038
5145,2020-08-09,1,260
3370,2020-03-23,1,258
10091,2020-09-26,3,1036
17720,2020-04-15,5,149
13297,2020-05-20,4,5814
16613,2020-07-18,5,150
11361,2020-02-18,3,1027
8719,2020-04-28,2,332
13316,2020-02-22,4,5972
5897,2020-12-14,1,255
3472,2020-01-13,1,252
10311,2020-11-22,3,1037
6707,2020-03-12,2,335
12691,2020-06-17,4,5779
11550,2020-09-14,3,1037
11905,2020-11-03,3,1029
13288,2020-01-06,4,5872
16536,2020-04-15,5,162
8526,2020-10-19,2,316
5440,2020-06-25,1,258
14932,2020-05-15,4,5721
8794,2020-02-29,2,309
2683,2020-05-13,0,66
17620,2020-06-15,5,147
9042,2020-12-26,3,1037
8682,2020-05-15,2,329
1810,2020-10-16,0,71
16210,2020-04-19,5,147
3471,2020-07-27,1,248
6719,2020-05-01,2,394
5450,2020-12-08,1,258
11585,2020-05-30,3,1044
6332,2020-07-01,2,308
14807,2020-07-28,4,5986
15567,2020-08-08,5,149
2493,2020-01-13,0,67
10955,2020-12-13,3,1035
14134,2020-02-09,4,5797
15715,2020-10-19,5,134
6565,2020-07-02,2,334
2616,2020-10-26,0,66
1329,2020-03-27,0,63
5622,2020-11-14,1,257
7670,2020-03-20,2,334
11458,2020-10-12,3,1033
177,2020-04-08,0,63
638,2020-07-31,0,66
1140,2020-10-26,0,70
4072,2020-03-04,1,258
13864,2020-02-06,4,5850
14395,2020-12-24,4,5810
12274,2020-11-30,4,5625
10343,2020-01-05,3,1031
289,2020-11-29,0,67
10570,2020-04-09,3,1033
2096,2020-04-05,0,62
3668,2020-12-05,1,253
16380,2020-01-04,5,148
10568,2020-05-20,3,1034
9284,2020-12-16,3,1034
12393,2020-04-14,4,5851
3771,2020-07-08,1,260
11081,2020-11-14,3,1037
11909,2020-09-29,3,1041
13605,2020-01-24,4,5630
